 # step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  11900      7.17e-01    6.96e-01      2.22e-03    4.74e-02      2.39e-02    2.30e-02    9.0e-04
  12000      7.13e-01    6.60e-01      2.61e-02    2.27e-02      2.36e-02    2.18e-02    9.0e-04
  12100      6.36e-01    6.99e-01      1.13e-02    1.02e-02      2.11e-02    2.32e-02    9.0e-04
  12200      6.09e-01    5.82e-01      1.75e-03    5.72e-02      2.03e-02    1.90e-02    9.0e-04
  12300      6.03e-01    6.38e-01      2.12e-02    1.64e-02      1.99e-02    2.11e-02    9.0e-04
  12400      7.38e-01    5.16e-01      1.53e-02    1.12e-02      2.45e-02    1.71e-02    9.0e-04
  12500      6.48e-01    7.42e-01      3.44e-02    1.34e-02      2.11e-02    2.47e-02    9.0e-04
  12600      6.57e-01    5.87e-01      1.31e-03    2.42e-03      2.19e-02    1.95e-02    9.0e-04
  12700      5.81e-01    5.81e-01      6.18e-03    6.14e-02      1.93e-02    1.89e-02    9.0e-04
  12800      6.62e-01    6.82e-01      1.45e-02    8.38e-03      2.20e-02    2.27e-02    9.0e-04
  12900      7.69e-01    5.02e-01      1.22e-02    1.38e-03      2.56e-02    1.67e-02    9.0e-04
  13000      6.23e-01    6.11e-01      9.64e-04    2.79e-05      2.07e-02    2.03e-02    9.0e-04
  13100      6.34e-01    4.98e-01      1.07e-02    9.28e-03      2.11e-02    1.65e-02    9.0e-04
  13200      6.54e-01    4.38e-01      1.73e-02    9.37e-03      2.17e-02    1.45e-02    9.0e-04
  13300      5.15e-01    4.80e-01      2.26e-03    4.27e-03      1.72e-02    1.60e-02    9.0e-04
  13400      7.42e-01    7.29e-01      1.87e-02    1.36e-02      2.46e-02    2.42e-02    9.0e-04
  13500      6.09e-01    6.16e-01      1.37e-02    2.71e-03      2.02e-02    2.05e-02    9.0e-04
  13600      6.74e-01    7.53e-01      2.04e-02    1.74e-02      2.23e-02    2.50e-02    9.0e-04
  13700      7.53e-01    7.70e-01      3.34e-02    2.54e-02      2.48e-02    2.54e-02    9.0e-04
